chr	start	end	920ng	320ng	80ng	mean	location
12	10940001	10950000	9.07191612645761e-05	0.000112045158761906	0.000133795368632717	0.0001121865628864	12:10940001-10950000
16	7230001	7240000	9.71407235162513e-05	0.000124719950477054	0.000114555665227749	0.000112138779740351	16:7230001-7240000
14	5380001	5390000	8.37565882737486e-05	9.41314531378307e-05	0.000138384655683444	0.000105424232365008	14:5380001-5390000
17	72140001	72150000	5.05162897131787e-05	9.61594198122544e-05	0.000167332466311103	0.000104669391945512	17:72140001-72150000
6	133730001	133740000	0.000105969041232989	9.48919406407396e-05	0.000109705814260222	0.000103522265377984	6:133730001-133740000
3	92590001	92600000	9.13823652819105e-05	0.000115340604607844	0.000101670359277632	0.000102797776389129	3:92590001-92600000
16	10960001	10970000	0.000136862233941925	9.0247552890107e-05	6.50737368987622e-05	9.73945079102647e-05	16:10960001-10970000
3	25840001	25850000	7.61247016016777e-05	9.88633753781524e-05	0.000109083822974959	9.46906333182632e-05	3:25840001-25850000
7	58950001	58960000	8.28965308852626e-05	0.000101398333721182	9.8022464442439e-05	9.41057763496279e-05	7:58950001-58960000
8	103290001	103300000	9.27639741299981e-05	0.000144471500899826	4.35393899684304e-05	9.35916216660847e-05	8:103290001-103300000
2	22470001	22480000	0.000189694796615576	6.67961523388286e-05	2.40055014961076e-05	9.34988168168373e-05	2:22470001-22480000
12	97020001	97030000	7.7525769729316e-05	9.8271885098112e-05	0.0001035531437087	9.31169328453759e-05	12:97020001-97030000
1	21880001	21890000	8.20792411441403e-05	8.82165503374283e-05	0.000107671734651659	9.26558420444092e-05	1:21880001-21890000
13	55710001	55720000	5.02049412403703e-05	0.000107989225413059	0.00010978986713661	8.93280112633462e-05	13:55710001-55720000
2	7090001	7100000	9.34379006074931e-05	8.51746003257928e-05	8.93381212541413e-05	8.93168740624758e-05	2:7090001-7100000
13	54520001	54530000	0.000180582114228929	5.57690835466501e-05	2.78887443851838e-05	8.80799807202543e-05	13:54520001-54530000
5	12200001	12210000	6.41767039576515e-05	0.000145169225277495	4.83640250730403e-05	8.59033181027289e-05	5:12200001-12210000
9	96770001	96780000	6.48772380214707e-05	9.21975509553812e-05	9.94933897792108e-05	8.55227262520209e-05	9:96770001-96780000
8	15560001	15570000	8.48107094879481e-05	8.20333956043184e-05	8.96648929751105e-05	8.55029993557923e-05	8:15560001-15570000
16	6080001	6090000	6.43323781940559e-05	9.02445170118519e-05	9.88461826310312e-05	8.44743592789797e-05	16:6080001-6090000
19	16140001	16150000	7.31668911099969e-05	7.75697252967042e-05	0.000100317107967802	8.36845747915011e-05	19:16140001-16150000
7	130430001	130440000	0.000112994034117611	7.21962244428172e-05	6.29387938385341e-05	8.27096841329874e-05	7:130430001-130440000
12	110820001	110830000	8.05614173391988e-05	8.22593982313089e-05	8.36662331555514e-05	8.2162349575353e-05	12:110820001-110830000
6	30780001	30790000	6.86782839603411e-05	9.48074420293051e-05	8.29013519804306e-05	8.21290259900256e-05	6:30780001-30790000
2	40440001	40450000	7.12209631549439e-05	9.60749212008199e-05	7.77825318084665e-05	8.16928053880767e-05	2:40440001-40450000
5	46570001	46580000	7.61247016016777e-05	8.83855475602968e-05	8.04890344281254e-05	8.16664278633666e-05	5:46570001-46580000
14	55130001	55140000	8.34636298893065e-05	7.24998086106451e-05	8.68434318829774e-05	8.09356234609763e-05	14:55130001-55140000
3	157780001	157790000	8.40653706877152e-05	7.17393211077362e-05	8.5431343559677e-05	8.04120117850428e-05	3:157780001-157790000
5	9520001	9530000	7.3789588055614e-05	7.8583708633916e-05	8.75494760446276e-05	7.99742575780526e-05	5:9520001-9530000
16	6810001	6820000	7.08722846356508e-05	7.09788336048274e-05	9.74340943077308e-05	7.97617375160697e-05	16:6810001-6820000
3	136640001	136650000	0.000160665964636777	5.37411168722264e-05	2.47115456577578e-05	7.97062090555869e-05	3:136640001-136650000
12	89630001	89640000	7.47236334740395e-05	8.06116753083397e-05	8.19011227514259e-05	7.90788105112683e-05	12:89630001-89640000
2	6800001	6810000	7.45679592376352e-05	7.93441961368249e-05	8.26071669130761e-05	7.88397740958454e-05	2:6800001-6810000
4	57370001	57380000	5.98178253383327e-05	8.92305336746401e-05	8.62550617482691e-05	7.84344735870807e-05	4:57370001-57380000
11	42520001	42530000	9.24704964241239e-05	7.80767169653101e-05	6.42500187101703e-05	7.82657440332014e-05	11:42520001-42530000
15	89650001	89660000	7.0637184768428e-05	7.55513245028201e-05	8.08420565089505e-05	7.56768552600662e-05	15:89650001-89660000
12	100170001	100180000	0.000143842994437526	5.67830668838619e-05	2.61236339810582e-05	7.5583231767482e-05	12:100170001-100180000
19	9960001	9970000	0.000156901736062088	5.01927860253207e-05	1.9063192364556e-05	7.53859048173215e-05	19:9960001-9970000
X	10520001	10530000	5.97789067792316e-05	6.99648502676155e-05	9.39038734994796e-05	7.45492101821089e-05	X:10520001-10530000
9	3250001	3260000	6.18867003955496e-05	8.78885985742532e-05	7.14542465051873e-05	7.37431818249967e-05	9:3250001-3260000
1	22010001	22020000	7.9393860566167e-05	6.48949335815565e-05	7.55467252965739e-05	7.32785064814324e-05	1:22010001-22020000
12	109520001	109530000	0.000116999198119443	6.2106479404224e-05	3.95384730524125e-05	7.28813835253599e-05	12:109520001-109530000
10	32600001	32610000	6.10632192295667e-05	7.40207836164628e-05	8.33132110747263e-05	7.27990713069186e-05	10:32600001-32610000
14	13670001	13680000	7.77592810839223e-05	6.66694044216771e-05	7.07220901919642e-05	7.17169252325212e-05	14:13670001-13680000
1	122280001	122290000	5.42626811906968e-05	8.48124634196456e-05	7.48587848313762e-05	7.13113098139062e-05	1:122280001-122290000
8	33110001	33120000	7.10652889185396e-05	6.94578585990096e-05	7.16634824074976e-05	7.07288766416823e-05	8:33110001-33120000
6	21440001	21450000	7.2748939627477e-05	6.79368835931919e-05	7.06044161650223e-05	7.04300797952304e-05	6:21440001-21450000
14	67040001	67050000	0.000111620993560688	5.95715210611944e-05	3.88324288907623e-05	7.00083145042149e-05	14:67040001-67050000
4	12230001	12240000	6.38653554848431e-05	7.78232211310072e-05	6.77993217930606e-05	6.9829299469637e-05	4:12230001-12240000
14	13660001	13670000	6.35151566314313e-05	6.97113544333126e-05	7.36639408655064e-05	6.89634839767501e-05	14:13660001-13670000
17	85360001	85370000	6.78350485131515e-05	6.54019252501624e-05	7.23695265691478e-05	6.85355001108206e-05	17:85360001-85370000
7	3460001	3470000	5.4408145623285e-05	6.64159085873742e-05	8.40192552363765e-05	6.82811031490119e-05	7:3460001-3470000
1	21890001	21900000	6.79518041904547e-05	6.59089169187683e-05	6.84862836800715e-05	6.74490015964315e-05	1:21890001-21900000
13	9320001	9330000	6.32819803994578e-05	6.38809502443446e-05	7.48406811349236e-05	6.73345372595754e-05	13:9320001-9330000
14	124740001	124750000	6.45658895486622e-05	7.14858252734333e-05	6.35439745485201e-05	6.65318964568719e-05	14:124740001-124750000
18	36420001	36430000	8.21197482158577e-05	6.54019252501624e-05	5.0835179638816e-05	6.61189510349454e-05	18:36420001-36430000
4	102180001	102190000	6.14134862614762e-05	6.59089169187683e-05	7.06044161650223e-05	6.59756064484223e-05	4:102180001-102190000
2	22480001	22490000	0.000164341399516056	2.43356000930837e-05	9.1785741014529e-06	6.59518579035307e-05	2:22480001-22490000
12	89550001	89560000	6.11799749068698e-05	7.20318163011627e-05	6.35439745485201e-05	6.55852552521842e-05	12:89550001-89560000
8	33260001	33270000	5.48751683324978e-05	7.24998086106451e-05	6.77802395184214e-05	6.50517388205214e-05	8:33260001-33270000
6	21270001	21280000	6.93528723180929e-05	6.38809502443446e-05	6.10728199827443e-05	6.47688808483939e-05	6:21270001-21280000
11	35350001	35360000	3.43261691271369e-05	7.19928169420392e-05	8.71964539638025e-05	6.45051466776595e-05	11:35350001-35360000
